year	component	emission	sector	value	unit
2012	total_footprint	Biomass CO2	Products of agriculture, hunting and related services	64.41167380584506	kt
2012	total_footprint	Biomass CO2	Products of forestry, logging and related services	1.055525129594323	kt
2012	total_footprint	Biomass CO2	Fish and other fishing products; aquaculture products; support services to fishing	35.91969700572945	kt
2012	total_footprint	Biomass CO2	Mining and quarrying	55.13954614116653	kt
2012	total_footprint	Biomass CO2	Food products, beverages and tobacco products	542.4682403745902	kt
2012	total_footprint	Biomass CO2	Textiles, wearing apparel and leather products	121.38823912493712	kt
2012	total_footprint	Biomass CO2	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	23.720091093604573	kt
2012	total_footprint	Biomass CO2	Paper and paper products	472.9916837577861	kt
2012	total_footprint	Biomass CO2	Printing and recording services	3.018168311264728	kt
2012	total_footprint	Biomass CO2	Coke and refined petroleum products	0.0	kt
2012	total_footprint	Biomass CO2	Chemicals and chemical products	0.0	kt
2012	total_footprint	Biomass CO2	Basic pharmaceutical products and pharmaceutical preparations	207.0336621382496	kt
2012	total_footprint	Biomass CO2	Rubber and plastics products	18.6814629960144	kt
2012	total_footprint	Biomass CO2	Other non-metallic mineral products	19.805282038331786	kt
2012	total_footprint	Biomass CO2	Basic metals	6.200410146228268	kt
2012	total_footprint	Biomass CO2	Fabricated metal products, except machinery and equipment	19.255347199936686	kt
2012	total_footprint	Biomass CO2	Computer, electronic and optical products	80.96948091247842	kt
2012	total_footprint	Biomass CO2	Electrical equipment	38.38948169882478	kt
2012	total_footprint	Biomass CO2	Machinery and equipment n.e.c.	80.04838846884599	kt
2012	total_footprint	Biomass CO2	Motor vehicles, trailers and semi-trailers	131.4806634779348	kt
2012	total_footprint	Biomass CO2	Other transport equipment	144.70725203416825	kt
2012	total_footprint	Biomass CO2	Furniture; other manufactured goods	219.5527570977593	kt
2012	total_footprint	Biomass CO2	Repair and installation services of machinery and equipment	11.760121535207956	kt
2012	total_footprint	Biomass CO2	Electricity, gas, steam and air-conditioning	313.2596109945704	kt
2012	total_footprint	Biomass CO2	Natural water; water treatment and supply services	6.802691586974294	kt
2012	total_footprint	Biomass CO2	Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services	30.697205534518307	kt
