sector	GHG	CO2	Biomass CO2	N2O	SF6_NF3	CH4	HFC	PFC
Agriculture, forestry & fishing	2.629720988056586	747.2458381588596	104.08027343709774	2774.332036921327	14397.902098435436	38401.40925034887	52801.81504912397	4837.983956247183
Business Services	4.727581952966645	3697.993278542096	841.1316315001129	489.8444602763337	34359.60918192107	24705.04103356277	151443.39921898776	22235.735110654823
Construction	9.434888179691573	7675.849627293674	1270.7660541132827	800.8512523467293	67139.96166206589	41877.171990817296	247034.57463324312	60077.61848781646
Electrical & machinery	4.05816893345104	3273.6233351802625	206.3989337287808	272.05922406510416	33342.1746476686	19287.73281298172	92849.79301607556	46201.41746629329
Electricity, gas & water	1.7595408573211488	1105.965572487028	441.41545978636543	152.99092446158576	22550.737494604	15925.382815676348	137407.36230004783	7163.871218211133
Food, beverages & tobacco	8.025185780365302	3464.685868697122	701.5537992812899	5576.283866259653	37907.25381632145	102487.50729956744	157397.00431112642	17830.224594036903
Metal & metal products	0.9744120205994796	775.9042387367997	41.9798316645147	43.08461273025021	10160.820665617244	4211.500126379744	23702.80637064051	35304.72891427355
Mining & quarrying	3.56357160811203	3170.966072637312	55.245431022525565	79.69711774337117	8267.368088835668	11571.388539339594	28558.394108368902	10661.157974012876
Other manufacturing & recycl.	1.4796237360816495	1139.7961071969178	296.00109095115226	129.23221803491785	12825.699104054946	8241.417946279335	41895.51137097401	20100.17813462892
Petroleum, chem & non-met	4.853743826462571	3351.2807952303724	208.30925475727665	582.6345950486631	36329.86777479827	39752.40659572629	188659.33358961745	10008.27749955032
Public services	6.974644559565023	5189.854390637904	840.9217442244177	947.6515914044744	43537.560133151135	42185.020521039085	281119.59413664404	27824.768346044697
Recreation; other services	0.9333996605445324	699.9689396861318	134.64487260397712	113.7115373199772	5857.673975800957	5341.180916829459	42967.71256099705	4918.711260583962
Textiles & wearing apparel	2.7121388054583724	1870.28641251366	140.1798869367156	543.0414785866702	9254.323768962511	21739.69425806584	75216.45302935925	4764.185095080501
Transport	3.432073596188541	3101.913503015133	166.6496125572191	187.76226450428865	7937.492552362857	8066.6797128916	38301.96850461314	8296.600061830373
Transport equipment	5.4825107724632565	4422.694402327015	288.10693837715144	352.49482147663537	61977.483190162064	25199.29917507743	131103.4824658548	67743.89988674773
Wholesale, retail , Hospitality	3.8083925697809935	2831.3600536904505	650.5041958961659	726.0834253886505	23702.11464973947	21288.677371204387	144143.1128316822	20692.214487405698
Wood, paper & publishing	0.2628440237463264	180.713804617524	492.1504713450449	45.5740563429956	3665.256860188121	1754.540959071236	15844.687904973836	1416.0025787522245
